timestamp,camera_source,total_persons,total_violations,violation_details,image_path
2026-03-10 12:11:30,0,0,3,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 2, 'no vest': 1}",violations\violation_20260310_121130.jpg
2026-03-10 12:11:40,0,0,3,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 1, 'no vest': 2}",violations\violation_20260310_121140.jpg
2026-03-10 12:11:50,0,0,3,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 1, 'no vest': 2}",violations\violation_20260310_121150.jpg
2026-03-10 12:12:00,0,0,4,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 2, 'no vest': 2}",violations\violation_20260310_121200.jpg
2026-03-10 12:12:10,0,0,4,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 3, 'no vest': 1}",violations\violation_20260310_121210.jpg
2026-03-10 12:12:20,0,0,10,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 5, 'no vest': 5}",violations\violation_20260310_121220.jpg
2026-03-10 12:12:31,0,0,4,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 3, 'no vest': 1}",violations\violation_20260310_121231.jpg
2026-03-10 12:12:41,0,0,4,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 3, 'no vest': 1}",violations\violation_20260310_121241.jpg
2026-03-10 12:12:51,0,0,8,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 4, 'no vest': 4}",violations\violation_20260310_121251.jpg
2026-03-10 12:13:01,0,1,1,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 0, 'no vest': 1}",violations\violation_20260310_121301.jpg
2026-03-10 12:13:12,0,0,1,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 0, 'no vest': 1}",violations\violation_20260310_121312.jpg
2026-03-10 12:13:40,0,0,1,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 0, 'no vest': 1}",violations\violation_20260310_121340.jpg
2026-03-10 12:13:52,0,1,1,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 0, 'no vest': 1}",violations\violation_20260310_121352.jpg
2026-03-10 12:14:16,0,0,1,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 0, 'no vest': 1}",violations\violation_20260310_121416.jpg
2026-03-10 12:14:26,0,0,1,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 0, 'no vest': 1}",violations\violation_20260310_121426.jpg
2026-03-10 12:14:37,0,0,1,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 0, 'no vest': 1}",violations\violation_20260310_121436.jpg
